"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2019","162.500","147.350","164.375","146.775","","10.85%"
"05/01/2019","146.600","140.950","152.545","140.560","","3.75%"
"04/01/2019","141.300","140.800","142.405","138.450","","0.50%"
"03/01/2019","140.600","139.840","141.000","137.500","","0.54%"
"02/01/2019","139.840","139.300","140.335","136.515","","0.39%"
"01/01/2019","139.300","139.800","140.410","134.620","","-0.36%"
"12/01/2018","139.800","138.900","139.990","133.950","","0.65%"
"11/01/2018","138.900","133.775","141.500","131.300","","3.83%"
"10/01/2018","133.775","123.165","134.455","123.045","","9.02%"
"09/01/2018","122.710","123.070","124.560","121.445","","-0.22%"
"08/01/2018","122.985","123.850","125.070","121.650","","-0.16%"
"07/01/2018","123.180","121.735","129.435","120.100","","1.41%"
"06/01/2018","121.470","115.775","122.080","114.995","","5.12%"
"05/01/2018","115.550","115.770","116.325","114.645","","0.01%"
"04/01/2018","115.540","115.710","116.210","114.845","","0.10%"
"03/01/2018","115.420","110.765","116.200","110.100","","4.42%"
"02/01/2018","110.530","110.760","111.250","109.955","","0.01%"
"01/01/2018","110.520","110.310","111.280","109.545","","0.11%"
"12/01/2017","110.400","105.380","111.180","105.250","","4.91%"
"11/01/2017","105.230","105.300","105.520","104.950","","0.00%"
"10/01/2017","105.230","105.325","105.470","104.900","","-0.02%"
"09/01/2017","105.250","105.175","105.470","105.050","","0.14%"
"08/01/2017","105.100","105.375","105.435","105.115","","-0.19%"
"07/01/2017","105.300","104.835","108.625","104.825","","0.57%"
"06/01/2017","104.700","104.815","104.920","104.650","","0.01%"
"05/01/2017","104.690","104.725","104.910","104.615","","0.04%"
"04/01/2017","104.650","104.835","104.935","104.600","","-0.06%"
"03/01/2017","104.710","104.825","104.890","104.610","","0.05%"
"02/01/2017","104.660","104.815","104.905","104.690","","0.02%"
"01/01/2017","104.640","104.575","104.885","104.575","","0.28%"
"12/01/2016","104.350","104.775","104.910","104.375","","-0.38%"
"11/01/2016","104.750","104.785","104.950","104.585","","0.05%"
"10/01/2016","104.700","104.385","104.950","104.385","","0.34%"
"09/01/2016","104.350","104.655","105.000","104.195","","-0.32%"
"08/01/2016","104.690","104.810","104.900","104.285","","-0.02%"
"07/01/2016","104.710","104.700","104.935","104.425","","0.11%"
"06/01/2016","104.600","104.795","104.955","104.070","","-0.11%"
"05/01/2016","104.720","104.760","104.925","104.575","","0.02%"
"04/01/2016","104.700","104.710","104.905","104.615","","0.10%"
"03/01/2016","104.600","104.750","104.905","104.500","","-0.05%"
"02/01/2016","104.650","104.915","104.980","104.045","","-0.05%"
"01/01/2016","104.700","104.835","105.000","104.730","","0.00%"
"12/01/2015","104.700","105.495","105.560","103.465","","-0.66%"
"11/01/2015","105.400","105.425","105.605","104.450","","0.09%"
"10/01/2015","105.300","104.445","105.555","104.300","","0.91%"
"09/01/2015","104.350","104.045","104.545","104.005","","0.24%"
"08/01/2015","104.100","101.755","104.300","101.715","","2.31%"
"07/01/2015","101.750","101.795","102.005","101.595","","0.03%"
"06/01/2015","101.720","102.015","102.015","101.660","","-0.19%"
"05/01/2015","101.910","101.800","102.065","101.675","","0.16%"
"04/01/2015","101.750","101.895","102.025","101.455","","0.00%"
"03/01/2015","101.750","101.850","102.170","101.510","","0.00%"
"02/01/2015","101.750","101.100","101.975","100.925","","0.74%"
"01/01/2015","101.000","100.950","101.270","100.500","","0.35%"
"12/01/2014","100.650","101.800","102.095","99.400","","-1.03%"
"11/01/2014","101.700","102.800","102.970","101.350","","-0.88%"
"10/01/2014","102.600","102.600","103.275","102.395","","0.10%"
"09/01/2014","102.500","101.100","103.025","101.100","","0.74%"
"08/01/2014","101.750","98.780","102.700","98.655","","3.11%"
"07/01/2014","98.680","98.680","98.925","98.480","","0.10%"
"06/01/2014","98.580","98.650","98.860","98.185","","0.00%"
"05/01/2014","98.580","98.650","98.930","98.110","","0.03%"
"04/01/2014","98.550","98.250","98.750","95.750","","0.36%"
"03/01/2014","98.200","104.900","105.015","97.610","","-6.30%"
"02/01/2014","104.800","105.450","105.590","104.725","","-0.64%"
"01/01/2014","105.470","105.600","105.900","105.100","","0.21%"
